order_id,products
3344,[ 8277 44142 13966 16953 21100 47058 21115 41277 46673 29345 10145 27362]
3373,[33754]
3384,[21137 39409  5258 35629 40691 33802]
3408,[19240 21137 47626 21267  3599  9515 18583]
3507,None
3519,[7179]
3587,[22788  3990 46941  7358   130 11461 15424 11885 42888  9535  7215 19097]
3702,[47766  9380]
3724,[47144 45965 12299 12174]
3732,[24852  2078 41540 45346]
3839,[24852 21137 27845 34969 35629  9210]
3866,[ 5077 27903 12911 33632]
3867,[49508 25817 15412 19160]
3870,[13914 45051 35470]
3962,[21137 22935 40348 28199 21938  5031 30233]
3981,[22959 25466 25340 13709]
4002,[48523  7035]
4055,[8230 7228 6300]
4065,[43961  9839 28842 24964 20114 25890 41665]
4133,"[13176 19678 46667 27845  3957 37065 36011 39180 45570 19820 30027 27286
 48940]"
4144,"[39877 13870 29993 48364 10017 41950 48745 27845 32655 43122 22298  5578
 48622 15091  2344  5764  2130   514]"
4353,"[ 7751 14788 38154 27360 44479 49520 46041 21292 32519 48144 28632 38929
  6236 48527 20898 47570 41722 29251 14218 30958 16415 26280]"
4372,[19057 22035 31343  2078 28985 17600 40910 46584 37158 48287 21096 17316]
4396,[49235 36552  1940 11265 17819 39488]
4458,"[31717  4920 13740 44359 45664 14947 27959  9076 36425 25976 34605 39636
  7567 15739 43029 17002 35663 29093 22386]"
4462,[  196 21019 44870 29345   695 42887    62 18233 24748]
4551,[27966 26209 47626 21288 47630 14764 45723]
4579,[32569]
4602,[ 8424 27156 31506 26369  2086 29307   329  7916  5985 29950]
4655,[13176  8021 21137 41596 30776 29487 45303]
4686,[24852 28842  4605 20114 42475  6244 15412  2936]
4848,[13176 26209 27695 39984 16278 32467]
4917,[ 8277 26209 47626 29439 31562 38408 28494]
5007,[13176 43154 12341 11759]
5011,[24852 33095 31307 37895 45933]
5041,[24852 31683 34126 44910 41874  2716]
5058,[24852 34503]
5082,[13176 19057 33719 14874 29418]
5095,[ 9387 19488 29615  1117 33651 36393 41362 16223 36185 19191 13941]
5109,[43352  6184  4724  9213]
5128,[14168  8590 21608]
5166,[24852 45066 11777 28199 42445 12576 20842]
5216,[ 5450 46676 30391 17794 44099 24184 47626 27086 43086]
5349,[19173  3061 42667]
5366,[ 9339  5876 26629 31640 47717 42903]
5400,[36036 16387]
5415,[  196 38928  4920 33198 47402  6729]
5525,[24768 22935  5077 27307 34335 14218]
5918,[21903 49683 18465 38383  5306]
5921,[47209 47626  5991  7948 24964  4605  7485 36913]
5989,"[ 7963 30489  3376 40723 25640 30233 25965 25340 18727 15950   581 36342
  6492]"
6067,"[41787 24852 47766  8518 21616 11068 43352 44661 17794 26790 34448   260
 46979 24964  4793 10831  7054 39024 15221]"
6073,[13575 13914 19660]
6100,[  196 12427 46149]
6104,[31173 41453]
6138,[36550]
6222,[ 4656 36389 31214]
6275,[16797 24852 29307 38672 16874 37592]
6313,[24852 18599 21938 38890 45188 38636]
6346,[37646 47766 21903 45007 44142 47893  9092]
6482,[24838 24186 42731 44925]
6490,[49683 26312 14493 44325 10402 12630 45924  3391 26589 46307]
6506,[47209 44289]
6530,[13176 46906]
6533,[25146 47141 43772 21868  4933]
6535,[ 9124 39732 16973  7704   518]
6645,[22395 45061 34321]
6718,[43875 49044 26856 34134 26096 14981]
6751,"[16797 21903 24010 49533 28199 37220 28432 20169 33279 48720 44641 30440
 48103]"
6763,"[24852 47766 21903  8277 43967 23765 20995 38456  6348 48559 27845 34969
 47223 31371 30720 14711 10768  4410 39781 30011 49264 48373]"
6932,[22959  1063 36307 28515]
6967,"[13176 24852 45007 17600 27104 34126 42625  9076 37067 19677 14540 11005
 45535 35167 35199]"
7000,[49235 30406 37919 12732]
7074,"[33957 21616 46969 26790 12872 42450 14233 37067 37552 25072  8022  8012
 30169 14633 19821 20876 47990  4297  3717  3390  7381 20009 47463  6606
 17396]"
7125,[40203 34969 23799 12149 17829]
7187,None
7213,[30162 16283 27477 42506]
7298,[24852 45066  7419 10388 15070 40677]
7370,[ 5450 33754 40571  4920 18656 19660 35871 42160]
7373,[23360 23734 12980]
7387,[40706  8193 22031 40396 30982 41860 30635]
7508,"[16797 47626 38739 28204 23025 27196 23955  9068 33090 15398 33503  4140
 19220 25638 27378  1494 13790   524]"
7594,[40332 48705 36431 49030 21240 41549 34003 45998]
7617,"[27344 45066 47766 30391 23165 31506 44632  4605 18027 48595 11440 25340
 29139 49114]"
7669,[26604 27845]
7671,[34969]
7683,[24852 28204 25372]
7736,[ 7644 46167 35483]
7788,[4233]
7837,[14084 24852 21137  8518 27521 45007  5646 18465  3481 20327]
7868,[16797 24024 11712 42659 19182]
7908,[19057 39877 28204 19348 36011 47630]
7909,[ 5876 16759  1511 36294]
7982,"[16797 27344 47766  8277 30391 13740 26790 44632 28204 24964 36724 38273
 20734 17284 21009    45   365 24385 35594]"
8030,[27966  5818 21938]
8038,[47141 21333 43154  1940 30727 27020 34503]
8041,"[13176 40604 40706 39275 46969  8952  4605  8174 38751 32230 33352 19893
 13031 18243 43802 27363 26047 12107 16415 20660]"
8111,[42265 35973 40723  8174 20052  1356 32297]
8156,"[32655  3765 21938 26312 44262 19068 32684 34024 39921 35124 14952 38236
 36372]"
8164,[46969 27020]
8185,"[15261 11919 44265  4461 45063 19348 29487 42556 29925 27482 32237 44372
 34280]"
8188,"[13176 30489 49683 45007 16185 24184 22935 27086 27845 33000 47893 38274
 43908 40233 30492]"
8240,[21137 44142 17461 12606   820]
8282,"[21137 44843 35221  4781 13536 40063 42139 25396 11121 29798 28781 35548
 48895 23555 37950]"
8284,"[13176 49235  9124 16797 17769 25146  9076 21333  1940 21131 36691 47977
 23909   397 21497  1695  1831  3400 32331  3856 29094 15100 25830 38553
 36005 12821 41608 41709 26323 38803 15373]"
8326,[14613 15497  6209]
8363,[13176 42265 48775 28842 38456 42585 32734 32828]
8418,[11265 32745]
8450,[ 1235 15776]
8458,[13259 21292]
8514,[35951 30776 33198 47029 26629  1118]
8608,"[19057 30489 21137 27521 36070  5876 32850 28204 36724  9421 30776  8174
 17284 49383 10558 23959 35461 35364 23025  7515 27715 34044 22677   141
 12791  6402 13449]"
8795,[20754  5194 18109 13166 24669  9208 34640 28209]
8865,None
8876,"[31707 14233   258 24427 15424 15386  6470 21997 38647 14331   649 22568
  7663 13504 25756 39949  4188 42056]"
8887,[26209 47626 28199 14852 10603 29553]
8989,[16965 42557 28934   436 34325   340  6347]
9071,"[36735 24838  9421 18362 37220  6187 13535 19385 26768 29112 21872  2344
 20524 33862 15285 15861]"
9175,[47209 43295  5646 44142 22115 12320 11937  2780  4825]
9190,[46149 13575 21100 16714]
9272,[16797 21903 33000 10227]
9300,[ 4920 24964]
9318,[10451]
9356,[ 8277 34658 22292]
9391,[38444 11185]
9427,[ 5077 28199  5550 46475 19155 36005 47083 40153 48776]
9446,[ 8230 41950 24964 21927 42445  6104 29801]
9503,[47766  8277 26209 24838 21174]
9526,[37646  5068]
9564,"[27966 21903 26209 46979 27086 17948 28849 26298 47325 48595 15950 45578
 11494 48487 23079]"
9824,[24799 22713 12658]
10061,[21903 43352 21288]
10126,[13176 39275 35886]
10176,[47977 39719 22447 28688 17317]
10338,[27966  7503 31506 28745 14852 11408 11737 11129]
10462,"[13176 37646 31717 40706 48679 18880 28985   260 18441 44910 33731 35958
  7021 13409 31553 43726 16981]"
10464,[44830]
10537,[39928 18441 44910  4562]
10583,[21903 25199 32433 17871  4579 37349]
10600,[47766 27845 35842]
10620,[24852 48364 44142 22819 23341 10603 33219 45840  9020 12481 42144]
10772,None
10840,[ 8424 15592 46979 35321 35221  2295 29487 26497 29333]
10849,[15482  4605 25340]
10955,[13176 47766 43961 26209 44953]
11026,[16797 18523 42736 18465 33731  4781 14651 40174 43654 23088]
11044,[32939 32650  7693 38194  9139 15412 47863]
11145,[23909 19734 44562 40142  7226]
11224,[19895  7559 23576 23645 28597  5785 42617 46505  2130 40092  8310]
11326,[20574 47766 44910  6348 33043 24024 27705 20957 11937 14858 37903]
11408,"[24852 43961 26209 17794  5876 10863  5025  4605 26620 38797 45346 26695
 20500]"
11518,[19057 24549 38547  8174  1244 41053 16131 17980]
11549,[21903 45007 39812 22935  5479  6218 23375]
11556,[26165]
11606,[21610 18681 25274]
11623,[12683  6128 12576 30353 43279 33716 44475 41276  5771  6724 10235]
11659,[21384 43190]
11664,[45613 11777 47626 26351 12658]
11697,[46149]
11749,[39877 21903 19678 23765 46979 27336 13877  1463 39984  5912 10070 32523]
11849,[ 1364 29244]
11888,[36107]
11943,[ 2002   432  9825 31945]
11974,[ 4455  7029 38809 39747]
11987,[32478 40199 28371 32079 32971]
11992,[12341]
11994,[12606]
12054,[47626  9405  1541 13899 49007  2040 23333]
12184,[22825  9598 27104 47759 46049 49215 48230 39984 28826 42540]
12187,[ 5025 16696 12341]
12233,"[24852 47144 21137 11520 23765 24952 38777 47626 40377 24561 36724 16953
 18362 46650 44560 16617 30720 18581 27663  1896 22276 33647 34281 25695
 33813]"
12234,[49605  7131]
12253,[40174 21793  5910 16192]
12258,[27966 21137 22935 43713  4802]
12323,[37646 42265 42736 38689 21295  1896 33424]
12338,[16965   432 21463]
12478,[33198 17568  5162 10065]
12517,[ 4957 14992 33787 47626 36183  5612 28849]
12553,"[21137 26604 17794 44910 46979 44632 26620 47734 39180 16616 31912  3466
 36969]"
12571,[47144 44234 30696 33198 37158 40078]
12662,"[14992 21137 21903 45007 30391 39275 23165 30855 33731 19934   343 26369
  5785 48104 31915 36746 32665  5550 34720]"
12745,[40199 43739]
12754,[49683 24184 34969 29307 33768 38510 39921 31981 43209  7103 24041 25478]
12846,None
12881,[13176 40604 16185 36865 44422 28204 24024  3627 41541]
12891,[14197  5782 39408 17634  3454]
12894,[21903 42803 40055 26047 24227]
12938,[12384 33572 37067 19048 16973 29270 31553 13292 34270 10724 27571]
12948,[24852 16185 15100 49217]
13003,"[13176 21137 28289 48775  8424  6141 24184  8309 44987  4605 32689 16759
 14778 42617 14764  1364 24195 12060]"
13024,[37646 39877 14947 44632 33198 49191 38622 20876  2019    44]
13040,[49235 40198 27845  8866 14401]
13085,[49235 27845]
13128,[21903 47626 14947 17706  5025 12315 27683]
13132,None
13160,[13176 23165 22935 27086 20842  7936]
13188,[ 7781 16797 24852 47209 17706  9755 20246]
13195,[30489 47766 45007  4920  8277 30391 34126 46979  4302 23198]
13210,"[14084 37646 42265 24184 25513 46906  4562 32303 31562 27247 10960 36164
 43068 35363 35784 10736]"
13241,[21137 25985  1695 39301]
13250,[40706 34358  3599 47119 28132 28020]
13433,[18531 18232  1215]
13441,[20899 18465 13877 31100 26364]
13471,[  196 38768]
13497,[49683  5876 41950 28204 14582 39953 18673  8474  3782  3744 42667]
13533,"[  196 44142  5782 40348 43409  6576    54 29925 44129 22093 43221 13388
 15924 12945  6166  7380 39796 32395 34280 16483]"
13534,[32689]
13545,[196]
13557,[47766 21616 11520 24035 20081 40795]
13564,[14992 11777 19019 27845 29311 41544 24654  8859]
13608,[28842 40310]
13680,[13176 42625 34276]
13715,"[ 5077 15820 44843 27612 19348 47941 23341 19382 49605 19389 34026 38826
 28109]"
13733,[37646 16168 47626 35221 27845 37220  8174 30442 24654  4410 48123]
13747,[44987 27845 42075 32369 46990]
13787,[42562]
13812,"[35951 24852 30489 39877 48110 21137 11520 47626 37107 27845 46906 48857
 49383 41658 20169 25936 12941 22556 16593]"
13879,"[ 7751 22008  5994 29487  4274 23634  7412  7806 40417 18702 48957 28761
 31257]"
13936,"[13176 45066 47766 31717  8424 25659 26209 23165 24952 44359 40377  9076
 13780 46667 20794 20114 43371 29926  4942 46802 23801 26620 44514  4472
 23695 43192 44643 40868 22227 27715 41972 19376 22556 28820 45856 49416
 32781 33752 34844  1087 38908]"
13977,[21903 27521 30391  9839  5876 45646  4149 26062  5086]
13982,[ 4920  1700 32429 30352  3562 39262 44988]
14003,[24852 42828 20114  7175 33015 11941 22831 33682]
14049,[25146  7736 35795 35121  6414]
14098,[13176 49235 13988 26209  3990 21927 33000 47865 45954  2537]
14124,"[13176 49683  8424 34358 24184 25931 41220 41290 43772 12341   432 13702
 33462]"
14232,[16797 24852 33041 14788 30266]
14346,[21376 24852 28842 47626 36070 17008 33894  1006 22447 44948 23716]
14369,"[24010 47940 41400 27790 35336  6139 38890 21795 11869  6052 44337 24920
 23560]"
14407,[22035 26790 38689 20345  3631]
14422,None
14453,[16797 17872 27966 23516 23165  5876  5785 19660 20178 30291 35594]
14484,[47766 29646 41013 44568]
14616,[43295 24184 37687 19660 46047 33320 47573]
14697,[6347]
14729,[24852  4210 40310 14493  1199 44323 28955 35164]
14750,[35951 27966 47209 21903 20899   633 37067 29447 12392 33527]
14773,[25146 17794  5782 28634 39132 45061 31564 48144 27246 46479 42887   702]
14817,[ 5918 11488 31681 26587]
14850,[13176 46149 43352  6184 31651 45051  7131]
14936,[11800]
14974,[24852 42265  5077 43772  1940 25466 16882 44292 45835 38471]
14994,[47209 26209 47893]
15028,[37687 15541 42282]
15066,[10962   536 19343]
15067,[ 8424  4799 42736 20995 37687 40396 17878]
15069,[29996 36714]
15076,[49235  1447 17449]
15094,[31343 38371 42504 26096 42732  5760 32466]
15272,[13176 11068 47672 43086 28204 27845 37642]
15286,[45066 21903 26604 24184 28204 21288 43122  5539 37959]
15332,[36472 16974  8571]
15345,[24852 33945 19348 36796 43195 32474 37577 48597]
15375,[43352 12341 33000 33768]
15390,[24852 48775 28985 38159 31506 17948 27531 39794 24082 17949 26096 31510]
15393,[12427 45051]
15400,[ 5077 19155]
15422,[24852 47626 26620 14853]
15447,"[  196 24852  8424  8193 28842 47626  7877 44799 21019 47962 33184 12087
 14295 45832 48875  2773]"
15481,[16797 35469 39844 32632  1037]
15518,"[27966 47209 21137 21903 31717 27521 45007 39275 34126 30480 48745 24964
 41065  8174 46847 11005 34497 36082 21543 25138  5514 41610 16824   972
 30167]"
15553,[ 5479 42460]
15718,[ 4957 47626 44987  5077 35221 27845 12545 27454 42637 26521 45208]
15740,[44142  3696  3990 40910 41602 25237 38218 13277 44315 31800]
15804,[39275 37710 10310 26348 16281]
15888,[196]
15928,[46572 16953  2350 24785 31562   877]
15972,"[30489 47209 40604  8518 40706 25659 39275   651  4799 27104 47042 42585
 38689  1158 21938 27509 25072 28597 30290  5161 39557 44882]"
16148,[20156 23909 27179 23965 48552 38060]
16160,[13176 27117  4605 35824]
16169,"[46979 33894  7371 23219 27360 27544 14999 38562 48370  5547 19625 22920
  3661 30117 49544 46515 41788]"
16225,[13176 24852 28373  4920 47626  1408 19125 14846  1172 32112]
16258,[22963 26209 38777  6218  5428 22220  6000]
16287,[21903 12341]
16295,[40604 15290 47626 21938 29921]
16323,[35951 24852  8518 21616 42828 37107  9934 39180  9020 33055 25087]
16467,[20277]
16471,[11520 32864  4472 34450    45 47900 13113]
16511,[13176 24810 45007 32828  9808 46331 34299]
16593,[10151 10722]
16738,[21137 21903 27796 30731]
16806,[38293 26209 39040 41149 41463  7704 14126  4724]
16867,[47209  8277 28465 22935 48745 28204 35213 36127 46654 44628 36126]
16880,[31981 34894]
16983,[24852 47209 28156  9092  5959 20345 38028  6655 29310]
17039,[13176 21903 37687 32303]
17044,[45066 47766 24964 25340 28228]
17051,[48775 39275 16083]
17106,[25146 34024 47226 15520]
17124,"[13176 22825 30489 47144 47766 47792 21903  4920 13249 38159 20995 36865
 44359 27845  4605 15604  9071 34590 30720 38028 24787 27741 44949 24857]"
17151,[10054 21351 43460]
17200,"[13176  7781 19057 30489 47766 21616 28289 31717 26209 39275  5646 41950
 32655 42719]"
17209,[280]
17250,[34128 19348 36522]
17279,[13176 17758 47209 42265 17794 33731 34551 27845 12572 39349]
17396,[13176 16521 39877 21137 21903 26915 30962 49381 14633 19706 48140]
17474,[24010 43961 40706 22935 49520 11811]
17575,[19057 21137 21903 29594 10749 16262  5785 46516 10070 25747]
17751,[47951]
17781,[20632 25461]
17795,[23233  9450]
17812,"[40198  8021 21903 44683  4920  6141 27086 35221 27845 21938 31371 22556
 12748]"
17889,[13575 43154  3298 21572 32455]
18077,[27307  1006  8745]
18113,[17008 35221 28553 40332  1160 20039  3107 15780  3438]
18145,[ 4210 47156 48335 30630 20876 40156 27913]
18146,[16797 24852 21903 34358   260 46979 45123  1025 10199]
18156,"[13176 22124 24010 25146 10132  5077  5782 24830 28634 43867    34  6128
 33129  2164 29373 46041 46820 16234 44487 30850 41602 40878  4137 35976
  7567 14399 49281 43495]"
18213,[13176 45066  8277]
18221,"[18523 22825 24852 21137  3376 17794   260 44359 44632 46667 27845 25890
 17183 39475]"
18258,"[13176 21137 21903 13740  5134 15902 27845 38689 45013 19660 12029 25837
 12701 35089]"
18278,[ 8277 48364 28476 12606  8414  5514 45152]
18294,"[22124 24852 37646 39877 21903 22035 29594 44910 29127 35535 26914  9472
 46253   961 12666]"
18349,[24852 47766 31343 22935 23734 18337  2081]
18362,[18288 33847 18811]
18367,[13176 24852 46676 28204 43768]
18383,[34067 43389]
18511,"[30489 47209 28289 10644  4799 37687 22935  4455 18362 19548 25824  5479
 25005 16759 31720 34429  4097 37825  1695  9515 44397 22721 15455  7598
 17949  5764 15794 44393 14596]"
18531,[24852  4210 31725 34321   459 45296  8474 27841]
18542,[45948 14462 45679 28934  1618  7734 34339 12549]
18551,[651]
18559,[20574 25199 43352 10246 40174 17949 48720]
18582,[13176 21903 11777 43713 46802 24616  2592 45572]
18635,[19057 25623 21616 40706 42736  7185 31714 44820]
18649,[16797 13575 21386]
18660,[13176 21137 36550 27951]
18671,"[13176 41787 39877 47788 27845 10912 44570 21497 48395 39844 35045 19906
 19244 30103 26488 21931 45453]"
18748,[25718 12099 46650 33100  9178 13702  3513 14642 31469 15769 15934]
18836,[15290 28842 16759 23909 40332 39301 11874 40553]
18858,[24852 30489 44910  8230 27325 28745 33198 46516 37029 25965 45747]
18920,[31846 42475]
18925,[13176  5212 27966 11777 48679  2228 24082 29413 21081]
18937,[44359 12846 27999]
18964,[13176  5450 22035 48679 42585 31869  5764 38963 17235]
18967,[ 9076  4006  1263  4562 23909  5750 10613  6046 37113 28371 10102]
18996,[45007   117  8859]
19099,[ 8230 41950 29439 43394 39276 19904 32134 13798 16473 42457]
19263,[13176  8277 39275 40852 40310 10749   890  6336  9047 14971 47803]
19292,[14084 25659 11352 36011 30720]
19299,[ 5077 17616 24235 42032   387]
19361,[24852 48679 17948 32655 37067 49236 40545  2658 46047]
19388,[31717 26940 35264 49175 10749 17795 35168 17592 40849]
19420,[24852 45007  4920 42585 46906  8912 49628  7923 29557 22210]
19438,[ 1559  5322 33754 13870 34262 21543 32033 12813]
19443,"[16797 24852 30489 39190 26209 39275 21198 41950 22031 28204 48559 30776
 21938 12576 13733 33873 15576]"
19506,[21616 18721 25986 18670 29660 10497 13532  5801]
19588,[16797 27966 47626]
19619,[21333]
19719,[13176 21137 40706 17273 38033]
19727,[13176 12341 20019]
19759,[24852  9203 43789 37141]
19774,[13176 37646 28842 27086 33000 41238 18113]
19786,"[ 7963 19057 22825 28918 37646 21903 46969 47626 47672 46667 43713  3957
 44201 11945 30219 32033 46047 49570 10586 37838 38384  1096 46322]"
19836,[13176 46886 47766 21903 23645 49175 17461]
19883,[16797 46886 47766 15290 43772 37940]
19927,[21903 27156 30391 24184 46906  3957  8174 34356 30620 33089 22164]
19974,"[30489 39121 47626 48697  5876 15902 24964 24489 20734 49075 27695 10753
 46984  6238 22369]"
20130,[33754 40571 15820 35042  9779 10145]
20158,[30489 28204 31040 16616 22281 32747 41165 37531]
20220,"[24852 41844 41290 31725 34969 28993 37250 23909  2295 46041 47611 45185
 39921  8898  3318 36307 19784 32915 27045  7648 38146 47824  5287  3171]"
20235,"[24852 30489 42342 42265 39275 32655 18035  6187 39619 39055 11046 40334
    10 42633 18641 13329 46627]"
20345,"[ 7781 24852 27344 27966 37646 45066 42265 43352 15290 28465 47672 36406
  3957 40063  7916   162 14870  7854 34511 23043]"
20410,[13176 21903  8518 40706 18441 34126  5876 28204  5240 32578]
20502,[27966 31506 44359 44008 28476  1025 26351  2228 39984 44765 18564]
20504,[ 4920 27104 37687 22935 23836]
20524,[14875 32115 24703 35752  8859  9155 40232 49139]
20525,[24852 47141 29763 13808]
20750,"[ 9124 24184  4210 15599  4091 27307  7644 12916 39581 47865 35727 24749
 11461  2081 12144 19218 39623 22308  5891]"
20765,[16797 47766 39275 14947 35221 20824 40174 40914 23716 15719 42648]
20797,[ 8518  4799 28842 47759 31964   546 40589 45989]
20801,[27966  5077  1511 29487  7762 34013 39276 22699 15772 38525 25398]
20806,[24852 23288 19348 26505 13287 49605  4347 34362 47357 15739 43951]
20851,[24852 24184]
20852,[  196 14252 29529 13643 46673 37241 12608]
20872,[13755]
20894,[36011 40469]
20898,[27966 30489 47792 27104 38273 25837 24631 11421 31471 13548]
20975,[48645 33909 31759 11154 38063 20960]
21043,[49235 21903 46802 36011 46822]
21103,[17122]
21109,[26209 19348 49381 42360 33614  6552]
21121,[28842 47626 22959  5025 39408 46522  1787  3584]
21129,None
21194,[35951 24852 48679 44632 48559 22227 39947  2694]
21198,[21137 42701 43720  8803 16838]
21227,[45767 13629 39748 17461 33401  6104 19046 10112 13025 20631 44731]
21232,[ 1194 31720 13245]
21262,[27966 45007 28204 45123 44560 18389 46812  8381]
21279,[ 4210 25466 26384  9515 35976]
21297,[13176  1689 11266  6184 12341 36472 20940 21195 19489]
21309,"[24852 28199  6348 10957  3298 34163 21292  1069  2770 42360 17316 38365
 27913 48965]"
21455,[45066 45007 11520 39275 47626 12206 22935 35221 24964 43712  5514 23370]
21517,[49235 39877 21903 26604  6187  2295 32099 34466 14218]
21569,[43713]
21591,[34703 44290 43886   213 19105]
21602,None
21611,"[26209 45364 12204 23801  2086 22395 16145  7388 47911  3682 36212 35495
  3396  6268]"
21628,[49683 17284  4472]
21882,[39877 44359 46294]
21912,[39275 43263  9405 49591]
21937,[47626 14947 40593 27428 36689 28174]
21941,[43961 31343 28928 44910 33731 12341 13877 41544 15438 20520 38557 31205]
21969,[16797 30489 45007 24799 21019 34969  3952 40593  5262 29752]
21990,[39275 24184 35914  8671 30949 16994 31067  5857]
22033,"[26209  2078  5818 15261  5652 39993 43789 33000  8174 43662 25256 25705
  2750  8955  4697]"
22049,[ 8803 19343]
22058,[24838 15290 35547 10749 35535]
22124,[10017  3957]
22159,[21903 37552  4605 44753 27199]
22213,[ 5652 35221]
22240,[16185  6789 33671 15221 17691 31030  8725 34073]
22245,[13176 22035 27104  7500 44961  9472 10314 18719]
22249,[22963 31683 18362 33129 16234 45687 45656 12053]
22255,[13176 22963 20632 11123 49215 33198 15226 22170]
22285,[14715 20940 21292 16974]
22323,[24273 21948 14118 45432 13004]
22324,[44051 32141  9175]
22336,[ 7963 16797 24852 28985 24964 13984 26648]
22447,[47209 11068 17794 18656 44201 23452 33873 37691]
22453,[32734 47630 33407 43908 42579 41610]
22467,[13176 21376 38739 33705  5785 27020  3308]
22503,"[21903  8518 19678 39275 47626 21405 45633  8736  9604 35510 11512 44449
 39558 34993 40268]"
22629,[24852 39190 44987 46572 44570  9623 14999 18105 48695 10851 43190]
22923,[13176 21137 24810 43961 45633 33198 23233  7156  7175 28038 15070]
22935,[24852 14992 47626 39408 14161 40593 17313]
22941,[  260 47626 30027]
22955,[36216  5479  6873]
23032,[1940]
23071,[42342  8518 31717 26209 30391 17948 46667 36180 38544 32647 25198]
23097,[38928 13575 43154 47402  3798 31651]
23099,[43772 39408  6046 36431   181 26318]
23221,[35951 17872  5025  5134 32465 26856]
23255,"[24852 33957 47766 26209 30391 47626 18465 40709 27509 31553  5449 15455
 11421 18618 17375 43143 46257 16206]"
23270,[29993   311 31461 25830 28473  7168 20604 32958]
23281,"[13176  4957  5322 17224 18523 33754 22035 33787 27086  6069 14917 18594
 13877  5785 45223 31433 42139  5456 37496 11421 22081 48946 15693 30726
 21469 26968]"
23318,[24852 40258]
23367,[42959 15631]
23379,[28204 41198 30756 22164]
23392,[17706  4210 41836  5240]
23440,[47766 12075 13292 45957]
23500,[32177 46979 16757 46616  1618 13214]
23528,[34234  9292 42777 29309 46341  1346]
23541,[24852 32955 39464  2103 22660]
23547,[41351 46817 28599 32915 21020]
23626,[40852 19446 18689 46106]
23668,[24852 27966 22035 11520 22935 24489 19173 30881]
23854,[15592 30659 10032 14087]
23873,[35951 24852 21903 43961 17044 39984  7041 14986 13548]
23877,[21137 39619 29898 42507 28643  8091]
23906,[13176 39928  9839   260 44359 35221 31915 29447]
23910,[42803 37710  6184 11759 27714]
24131,[48988 11707  1504]
24153,[47766   260 23478]
